HeaderLine,ResultLine
"== Offloading threshold sweep (M=8, N=12, row-major, blocked-CPU) ==","[K= 8] CPU:      4972 cyc | ACC(OS):      1926 cyc | speedup=  2.58x <- OFFLOAD"
"== Offloading threshold sweep (M=8, N=4, row-major, blocked-CPU) ==","[K= 1] CPU:       613 cyc | ACC(OS):      1909 cyc | speedup=  0.32x "
"== Offloading threshold sweep (M=8, N=4, row-major, blocked-CPU) ==","[K= 2] CPU:       621 cyc | ACC(OS):      1882 cyc | speedup=  0.32x "
"== Offloading threshold sweep (M=8, N=4, row-major, blocked-CPU) ==","[K= 3] CPU:       893 cyc | ACC(OS):      1955 cyc | speedup=  0.45x "
"== Offloading threshold sweep (M=8, N=4, row-major, blocked-CPU) ==","[K= 4] CPU:       793 cyc | ACC(OS):      1944 cyc | speedup=  0.40x "
"== Offloading threshold sweep (M=8, N=4, row-major, blocked-CPU) ==","[K= 5] CPU:       990 cyc | ACC(OS):      1931 cyc | speedup=  0.51x "
"== Offloading threshold sweep (M=8, N=4, row-major, blocked-CPU) ==","[K= 6] CPU:      1176 cyc | ACC(OS):      1948 cyc | speedup=  0.60x "
"== Offloading threshold sweep (M=8, N=4, row-major, blocked-CPU) ==","[K= 7] CPU:      1200 cyc | ACC(OS):      1989 cyc | speedup=  0.60x "
"== Offloading threshold sweep (M=8, N=4, row-major, blocked-CPU) ==","[K= 8] CPU:      1727 cyc | ACC(OS):      1882 cyc | speedup=  0.91x "
"== Offloading threshold sweep (M=12, N=4, row-major, blocked-CPU) ==","[K= 1] CPU:       968 cyc | ACC(OS):      1962 cyc | speedup=  0.49x "
"== Offloading threshold sweep (M=12, N=4, row-major, blocked-CPU) ==","[K= 2] CPU:      1151 cyc | ACC(OS):      1951 cyc | speedup=  0.58x "
"== Offloading threshold sweep (M=12, N=4, row-major, blocked-CPU) ==","[K= 3] CPU:      1158 cyc | ACC(OS):      1947 cyc | speedup=  0.59x "
"== Offloading threshold sweep (M=12, N=4, row-major, blocked-CPU) ==","[K= 4] CPU:      1267 cyc | ACC(OS):      1963 cyc | speedup=  0.64x "
"== Offloading threshold sweep (M=12, N=4, row-major, blocked-CPU) ==","[K= 5] CPU:      1463 cyc | ACC(OS):      1894 cyc | speedup=  0.77x "
"== Offloading threshold sweep (M=12, N=4, row-major, blocked-CPU) ==","[K= 6] CPU:      1487 cyc | ACC(OS):      1909 cyc | speedup=  0.77x "
